"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SNOW","SNWD"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-15","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-16","0.1","2"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-17","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-18","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-20","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-21","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-22","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-23","0.2",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-24","0.3","1"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-25","1.9","2"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-26","2.5","4"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-27","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-28","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-29","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-30","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2017-12-31","0.1","4"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-02","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-03","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-04","0.1",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-06","0.0","12"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-07","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-08","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-09","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-10","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-11","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-12","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-13",,"0"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-15","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-16","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-17","2.0","2"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-18","2.0","4"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-19","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-20","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-21","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-22",,"1"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-24",,"1"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-25","0.0",
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2018-01-26","0.0",
